,Station,Layer1,Layer2,Layer3,Layer4
2024-03-22 17:00:00,112,22.0,33.1,38.8,41.8
2024-03-22 17:30:00,112,22.1,33.2,38.8,41.8
2024-03-22 18:00:00,112,22.3,33.2,38.8,41.8
2024-03-22 18:30:00,112,22.4,33.3,38.8,41.8
2024-03-22 19:00:00,112,22.6,33.3,38.8,41.8
2024-03-22 19:30:00,112,22.6,33.3,38.8,41.8
2024-03-22 20:00:00,112,22.6,33.4,38.8,41.8
2024-03-22 20:30:00,112,22.6,33.5,38.8,41.8
2024-03-22 21:00:00,112,22.7,33.5,38.9,41.8
2024-03-22 21:30:00,112,22.7,33.6,38.9,41.8
2024-03-22 22:00:00,112,22.6,33.6,38.9,41.8
2024-03-22 22:30:00,112,22.6,33.7,38.9,41.8
2024-03-22 23:00:00,112,22.5,33.7,38.9,41.8
2024-03-22 23:30:00,112,22.4,33.7,38.9,41.8
2024-03-23 00:00:00,112,22.3,33.7,38.9,41.8
2024-03-23 00:30:00,112,22.3,33.7,38.9,41.8
2024-03-23 01:00:00,112,22.5,33.7,39.0,41.8
2024-03-23 01:30:00,112,23.0,33.8,39.0,41.9
2024-03-23 02:00:00,112,23.9,33.8,39.0,41.9
2024-03-23 02:30:00,112,24.0,33.8,39.1,41.9
2024-03-23 03:00:00,112,23.8,34.2,39.1,42.0
2024-03-23 03:30:00,112,23.6,34.3,39.1,41.9
2024-03-23 04:00:00,112,23.4,34.3,39.1,41.9
2024-03-23 04:30:00,112,23.3,34.3,39.1,41.9
2024-03-23 05:00:00,112,23.1,34.2,39.1,41.9
2024-03-23 05:30:00,112,23.0,34.2,39.1,41.9
2024-03-23 06:00:00,112,22.9,34.1,39.1,41.9
2024-03-23 06:30:00,112,22.8,34.1,39.1,41.9
2024-03-23 07:00:00,112,22.8,34.0,39.1,42.0
2024-03-23 07:30:00,112,22.7,34.0,39.1,42.0
2024-03-23 08:00:00,112,22.7,33.9,39.1,42.0
2024-03-23 08:30:00,112,22.6,33.9,39.1,42.0
2024-03-23 09:00:00,112,22.5,33.8,39.1,42.0
2024-03-23 09:30:00,112,22.4,33.8,39.1,42.0
2024-03-23 10:00:00,112,22.4,33.7,39.1,42.0
2024-03-23 10:30:00,112,22.3,33.7,39.1,42.0
2024-03-23 11:00:00,112,22.3,33.6,39.1,42.0
2024-03-23 11:30:00,112,22.2,33.6,39.1,42.0
2024-03-23 12:00:00,112,22.2,33.5,39.1,42.0
2024-03-23 12:30:00,112,22.2,33.5,39.1,42.0
2024-03-23 13:00:00,112,22.1,33.5,39.1,42.0
2024-03-23 13:30:00,112,22.1,33.4,39.1,42.0
2024-03-23 14:00:00,112,22.1,33.4,39.0,41.9
2024-03-23 14:30:00,112,22.2,33.4,39.0,41.9
2024-03-23 15:00:00,112,,,,
2024-03-23 15:30:00,112,22.2,33.4,39.0,41.9
2024-03-23 16:00:00,112,22.2,33.4,39.0,41.9
2024-03-23 16:30:00,112,22.3,33.4,39.0,41.9
2024-03-23 17:00:00,112,22.3,33.4,39.0,41.9
2024-03-23 17:30:00,112,22.3,33.4,39.0,41.9
2024-03-23 18:00:00,112,22.4,33.4,39.0,41.9
2024-03-23 18:30:00,112,22.5,33.5,39.0,41.9
2024-03-23 19:00:00,112,22.6,33.5,39.0,41.9
2024-03-23 19:30:00,112,22.6,33.5,38.9,41.9
2024-03-23 20:00:00,112,22.6,33.6,39.0,41.9
2024-03-23 20:30:00,112,22.7,33.6,38.9,41.9
2024-03-23 21:00:00,112,22.6,33.6,38.9,41.9
2024-03-23 21:30:00,112,22.6,33.7,38.9,41.9
2024-03-23 22:00:00,112,22.6,33.7,38.9,41.9
2024-03-23 22:30:00,112,22.5,33.7,38.9,41.9
2024-03-23 23:00:00,112,22.4,33.7,39.0,41.9
2024-03-23 23:30:00,112,22.3,33.7,39.0,41.9
2024-03-24 00:00:00,112,22.3,33.7,39.0,41.9
2024-03-24 00:30:00,112,22.2,33.6,39.0,41.9
2024-03-24 01:00:00,112,22.1,33.6,39.0,41.9
2024-03-24 01:30:00,112,22.0,33.6,39.0,41.9
2024-03-24 02:00:00,112,22.0,33.5,39.0,41.9
2024-03-24 02:30:00,112,,,,
2024-03-24 03:00:00,112,21.9,33.5,39.0,41.9
2024-03-24 03:30:00,112,21.8,33.4,39.0,41.9
2024-03-24 04:00:00,112,,,,
2024-03-24 04:30:00,112,21.7,33.3,39.0,41.9
2024-03-24 05:00:00,112,21.6,33.3,39.0,41.9
2024-03-24 05:30:00,112,21.6,33.3,39.0,41.9
2024-03-24 06:00:00,112,21.5,33.3,39.0,41.9
2024-03-24 06:30:00,112,21.5,33.3,39.0,41.9
2024-03-24 07:00:00,112,21.4,33.2,39.0,41.9
2024-03-24 07:30:00,112,21.4,33.2,39.0,41.9
2024-03-24 08:00:00,112,21.4,33.2,39.0,41.9
2024-03-24 08:30:00,112,21.3,33.2,39.0,41.9
2024-03-24 09:00:00,112,21.3,33.1,39.0,41.9
2024-03-24 09:30:00,112,21.3,33.1,39.0,41.9
2024-03-24 10:00:00,112,21.2,33.1,39.0,41.9
2024-03-24 10:30:00,112,21.2,33.0,39.0,41.9
2024-03-24 11:00:00,112,21.2,33.0,39.0,41.9
2024-03-24 11:30:00,112,21.2,33.0,39.0,41.9
2024-03-24 12:00:00,112,21.1,33.0,38.9,41.9
2024-03-24 12:30:00,112,21.1,33.0,38.9,41.9
2024-03-24 13:00:00,112,21.1,32.9,38.9,41.9
2024-03-24 13:30:00,112,21.1,32.9,38.9,41.9
2024-03-24 14:00:00,112,21.2,32.9,38.9,41.9
2024-03-24 14:30:00,112,21.2,32.9,38.9,41.9
2024-03-24 15:00:00,112,21.3,33.0,38.9,41.9
2024-03-24 15:30:00,112,21.4,33.0,38.9,41.9
2024-03-24 16:00:00,112,,,,
2024-03-24 16:30:00,112,21.7,33.1,38.9,41.9
2024-03-24 17:00:00,112,21.8,33.1,38.8,41.9
2024-03-24 17:30:00,112,21.9,33.2,38.8,41.9
2024-03-24 18:00:00,112,22.1,33.2,38.8,41.9
2024-03-24 18:30:00,112,22.2,33.3,38.8,41.9
2024-03-24 19:00:00,112,22.3,33.3,38.8,41.9
2024-03-24 19:30:00,112,22.3,33.3,38.8,41.9
2024-03-24 20:00:00,112,22.3,33.4,38.8,41.9
2024-03-24 20:30:00,112,22.4,33.4,38.9,41.9
2024-03-24 21:00:00,112,22.4,33.5,38.9,41.9
2024-03-24 21:30:00,112,22.4,33.5,38.9,41.9
2024-03-24 22:00:00,112,22.3,33.6,38.9,41.9
2024-03-24 22:30:00,112,22.2,33.6,38.9,41.9
2024-03-24 23:00:00,112,22.1,33.6,38.9,41.9
2024-03-24 23:30:00,112,22.1,33.7,38.9,41.9
2024-03-25 00:00:00,112,22.0,33.7,38.9,41.9
2024-03-25 00:30:00,112,21.9,33.7,39.0,41.9
2024-03-25 01:00:00,112,21.8,33.7,39.0,41.9
2024-03-25 01:30:00,112,21.7,33.7,39.0,41.9
2024-03-25 02:00:00,112,21.6,33.6,39.0,42.0
2024-03-25 02:30:00,112,21.5,33.6,39.0,42.0
2024-03-25 03:00:00,112,21.5,33.6,39.0,42.0
2024-03-25 03:30:00,112,21.4,33.6,39.1,42.0
2024-03-25 04:00:00,112,21.4,33.6,39.1,42.0
2024-03-25 04:30:00,112,21.3,33.5,39.1,42.0
2024-03-25 05:00:00,112,21.2,33.5,39.1,42.0
2024-03-25 05:30:00,112,21.2,33.5,39.1,42.0
