ts,Entity Name,data_soil_moisture1,data_soil_moisture2,data_soil_moisture3,data_soil_moisture4
2024-06-30 11:47:38.854,111,19.6,23.4,42.7,49.9
2024-06-30 12:17:38.813,111,19.5,23.3,42.6,49.8
2024-06-30 12:47:38.769,111,19.4,23.2,42.4,49.8
2024-06-30 13:17:38.562,111,19.2,23.1,42.3,49.7
2024-06-30 13:47:38.703,111,19.1,23.0,42.2,49.7
2024-06-30 14:17:38.668,111,19.0,22.9,42.1,49.6
2024-06-30 15:17:38.266,111,18.8,22.7,42.0,49.5
2024-06-30 15:47:38.551,111,18.7,22.7,41.9,49.5
2024-06-30 16:17:38.446,111,,,,
2024-06-30 16:47:38.478,111,18.4,22.5,41.7,49.4
2024-06-30 17:17:38.258,111,,,,
2024-06-30 17:47:38.143,111,,,,
2024-06-30 18:17:38.130,111,,,,
2024-06-30 18:47:37.998,111,,,,
2024-06-30 19:17:37.867,111,17.9,22.2,41.6,49.4
2024-06-30 19:47:38.220,111,,,,
2024-06-30 20:17:37.978,111,,,,
2024-06-30 20:47:37.947,111,,,,
2024-06-30 21:17:37.495,111,,,,
2024-06-30 21:47:37.880,111,,,,
2024-06-30 22:17:37.890,111,,,,
2024-06-30 23:17:37.829,111,,,,
2024-06-30 23:47:37.819,111,,,,
2024-07-01 00:17:37.793,111,,,,
2024-07-01 00:47:37.783,111,,,,
2024-07-01 01:17:37.781,111,,,,
2024-07-01 01:47:37.748,111,,,,
2024-07-01 02:17:37.743,111,,,,
2024-07-01 02:47:37.714,111,,,,
2024-07-01 03:17:37.710,111,,,,
2024-07-01 03:47:37.680,111,,,,
2024-07-01 04:17:37.675,111,,,,
2024-07-01 04:47:37.664,111,,,,
2024-07-01 05:17:37.649,111,,,,
2024-07-01 05:47:37.641,111,,,,
2024-07-01 06:17:37.626,111,,,,
2024-07-01 06:47:37.616,111,,,,
2024-07-01 07:17:37.629,111,,,,
2024-07-01 07:47:37.137,111,,,,
2024-07-01 08:17:37.407,111,,,,
2024-07-01 08:47:37.507,111,,,,
2024-07-01 09:17:37.459,111,,,,
2024-07-01 09:47:37.408,111,,,,
2024-07-01 10:17:36.958,111,,,,
2024-07-01 10:47:37.425,111,,,,
2024-07-01 11:17:37.199,111,,,,
2024-07-01 11:47:37.369,111,,,,
2024-07-01 12:17:37.300,111,,,,
2024-07-01 12:47:37.442,111,16.6,20.9,41.1,49.2
2024-07-01 13:17:37.417,111,16.6,20.9,41.0,49.1
2024-07-01 13:47:37.359,111,18.5,24.6,36.6,37.7
2024-07-01 14:17:37.310,111,18.9,24.7,37.1,38.4
2024-07-01 14:47:37.283,111,19.2,25.0,37.3,38.8
2024-07-01 15:17:36.986,111,19.4,25.0,37.5,39.1
2024-07-01 15:47:37.047,111,,,,
2024-07-01 16:17:37.177,111,19.6,25.0,37.7,39.6
2024-07-01 16:47:37.118,111,19.7,25.1,37.8,39.8
2024-07-01 17:17:37.089,111,19.8,25.1,37.8,40.0
2024-07-01 17:47:36.888,111,19.8,25.2,37.9,40.1
2024-07-01 18:17:37.028,111,19.8,25.2,38.0,40.2
2024-07-01 18:47:36.982,111,19.8,25.3,38.0,40.4
2024-07-01 19:17:36.945,111,19.8,25.3,38.1,40.5
2024-07-01 19:47:36.892,111,19.8,25.3,38.1,40.6
2024-07-01 20:17:36.868,111,19.8,25.4,38.2,40.6
2024-07-01 20:47:36.859,111,19.8,25.4,38.3,40.7
2024-07-01 21:17:36.358,111,19.8,25.4,38.3,40.8
2024-07-01 21:47:36.774,111,19.8,25.5,38.4,40.9
2024-07-01 22:17:36.181,111,,,,
2024-07-01 22:47:36.412,111,19.8,25.5,38.4,41.0
2024-07-01 23:17:36.387,111,19.8,25.5,38.5,41.1
2024-07-02 00:17:36.615,111,19.8,25.5,38.6,41.2
2024-07-02 01:17:36.556,111,19.7,25.5,38.7,41.3
2024-07-02 01:47:36.250,111,19.7,25.5,38.7,41.4
2024-07-02 02:17:36.228,111,19.7,25.5,38.7,41.4
2024-07-02 02:47:36.500,111,19.6,25.5,38.8,41.4
2024-07-02 03:17:36.161,111,19.7,25.5,38.8,41.5
2024-07-02 03:47:35.693,111,19.6,25.5,38.8,41.5
2024-07-02 04:17:36.406,111,19.5,25.5,38.9,41.6
2024-07-02 04:47:36.195,111,19.5,25.5,38.9,41.6
2024-07-02 05:17:36.370,111,19.5,25.5,38.9,41.6
2024-07-02 05:47:36.334,111,19.5,25.5,38.9,41.6
2024-07-02 06:17:36.298,111,19.4,25.4,38.9,41.6
2024-07-02 06:47:35.567,111,19.4,25.4,38.9,41.6
2024-07-02 07:17:36.235,111,19.4,25.4,39.0,41.7
2024-07-02 07:47:36.223,111,19.3,25.4,39.0,41.7
2024-07-02 08:17:36.179,111,19.3,25.4,39.0,41.7
2024-07-02 08:47:36.154,111,19.2,25.4,39.0,41.7
2024-07-02 09:17:36.120,111,19.2,25.3,38.9,41.7
2024-07-02 09:47:36.075,111,19.1,25.3,38.9,41.7
2024-07-02 10:17:36.004,111,19.0,25.3,38.9,41.7
2024-07-02 10:47:35.998,111,18.9,25.3,38.9,41.8
2024-07-02 11:47:35.909,111,18.8,25.3,38.8,41.8
2024-07-02 12:17:35.883,111,18.8,25.3,38.8,41.8
2024-07-02 12:47:35.840,111,18.7,25.3,38.8,41.8
2024-07-02 13:17:35.806,111,18.7,25.3,38.7,41.8
2024-07-02 13:47:35.759,111,18.7,25.3,38.7,41.8
2024-07-02 14:17:35.739,111,18.6,25.3,38.7,41.8
2024-07-02 14:47:35.700,111,18.6,25.3,38.6,41.8
2024-07-02 15:17:35.654,111,18.6,25.3,38.6,41.7
2024-07-02 15:47:35.446,111,,,,
2024-07-02 16:47:35.540,111,18.5,25.4,38.5,41.7
2024-07-02 17:17:35.536,111,18.5,25.4,38.4,41.7
2024-07-02 17:47:35.509,111,18.5,25.4,38.4,41.7
2024-07-02 18:17:35.287,111,18.5,25.4,38.4,41.7
